,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.42591275867173956,0.4054452950579139,0.27,0.21693468582731568,0.5454147011465548,0,interleaved,
1,Training,0.0,1,0.4333116912076154,0.4193458059951265,0.278125,0.21641740709522353,0.5467589570898375,0,interleaved,
2,Test,0.0,1,0.3963170285282359,0.34984325130906324,0.2375,0.21900380075568432,0.5400376773734246,0,interleaved,1.0
3,All,0.0,1,0.4697778971944081,0.4414065272684205,0.305,0.26698151220869404,0.6091088172640283,0,blocked,
4,Training,0.0,1,0.4791815663732808,0.45950239308868823,0.290625,0.24825436319414135,0.6059959641793874,0,blocked,
5,Test,0.0,1,0.4321632204789172,0.3690230639873495,0.3625,0.3418901082669046,0.6215602296025922,0,blocked,1.0
6,All,0.0,1,0.43657240785105283,0.46162881540160117,0.2325,0.18980240576955912,0.5305365547183226,0,early,
7,Training,0.0,1,0.44536838641833415,0.4712829046924119,0.2125,0.17701547237262238,0.5228116572792585,0,early,
8,Test,0.0,1,0.40138849358192763,0.4230124582383584,0.3125,0.24095013935730608,0.5614361444745788,0,early,1.0
9,All,0.0,1,0.47389015915566424,0.46241504363317787,0.405,0.3464377517990274,0.6323866873926771,0,middle,
10,Training,0.0,1,0.4803072752045852,0.4750055438693507,0.38125,0.32502214578581795,0.6240424646562569,0,middle,
11,Test,0.0,1,0.4482216949599806,0.4120530426884864,0.5,0.4321001758518654,0.6657635783383581,0,middle,1.0
12,All,0.0,1,0.4428138399736878,0.41315225843513126,0.3125,0.2669380428730854,0.540140207647731,0,late,
13,Training,0.0,1,0.4501239948402454,0.42298989589369745,0.3125,0.26295794522165333,0.550357340215011,0,late,
14,Test,0.0,1,0.4135732205074575,0.3738017086008662,0.3125,0.2828584334788138,0.4992716773786111,0,late,1.0
15,All,0.0,1,0.4586385820707436,0.4093377999744236,0.26,0.2504255143642704,0.5031614031361977,1,interleaved,
16,Training,0.0,1,0.46449607697190454,0.41801932777491463,0.2375,0.23694658294235277,0.48938976454717764,1,interleaved,
17,Test,0.0,1,0.4352086024661,0.37461168877245904,0.35,0.30434124005194096,0.5582479574922784,1,interleaved,1.0
18,All,0.0,1,0.4185141555222813,0.43031671616364364,0.15,0.14335139880428527,0.5560677599129822,1,blocked,
19,Training,0.0,1,0.4245857885199252,0.4413871317531868,0.14375,0.13676271473137852,0.5728728531795054,1,blocked,
20,Test,0.0,1,0.39422762353170554,0.38603505380547115,0.175,0.16970613509591229,0.4888473868468893,1,blocked,1.0
21,All,0.0,1,0.43662602748049495,0.404356514411706,0.3375,0.29015788202556636,0.5440495243075482,1,early,
22,Training,0.0,1,0.43890306645383104,0.4166453878359982,0.3375,0.2811116084655764,0.5376353424956547,1,early,
23,Test,0.0,1,0.4275178715871506,0.355201020714537,0.3375,0.326342976265526,0.5697062515551217,1,early,1.0
24,All,0.0,1,0.4420062064937855,0.4452166715135426,0.24,0.20695060466373547,0.5610062361368331,1,middle,
25,Training,0.0,1,0.450233809729214,0.45930975194393203,0.225,0.19826030835145048,0.551455384603582,1,middle,
26,Test,0.0,1,0.40909579355207143,0.3888443497919846,0.3,0.24171178991287542,0.5992096422698376,1,middle,1.0
27,All,0.0,1,0.46598485907048925,0.4533821614845982,0.315,0.2956213244662024,0.5440172909435892,1,late,
28,Training,0.0,1,0.47010685283009856,0.46015670356716554,0.2875,0.27609507439497366,0.5378653316761741,1,late,
29,Test,0.0,1,0.44949688403205207,0.4262839931543292,0.425,0.3737263247511174,0.5686251280132494,1,late,1.0
30,All,0.0,1,0.502002017313621,0.4963771958013223,0.285,0.2481788589050472,0.5576970760601158,2,interleaved,
31,Training,0.0,1,0.5087251886046914,0.5065103898289495,0.265625,0.22494695700043313,0.5436085162874976,2,interleaved,
32,Test,0.0,1,0.4751093321493395,0.45584441969081346,0.3625,0.3411064665235033,0.6140513151505884,2,interleaved,1.0
33,All,0.0,1,0.44601283619623794,0.42887792325805435,0.2125,0.1928193726550981,0.5525924349173844,2,blocked,
34,Training,0.0,1,0.4507040309182729,0.4384808535207793,0.171875,0.16641219956594142,0.532900517100998,2,blocked,
35,Test,0.0,1,0.42724805730809834,0.39046620220715444,0.375,0.29844806501172494,0.6313601061829306,2,blocked,1.0
36,All,0.0,1,0.4557800923402469,0.43325796468207395,0.2725,0.2206173281876219,0.5689630360104538,2,early,
37,Training,0.0,1,0.46614846653587266,0.44877113347900527,0.2375,0.20161344059807815,0.5562923769888661,2,early,
38,Test,0.0,1,0.4143065955577442,0.3712052894943488,0.4125,0.2966328785457966,0.6196456720968049,2,early,1.0
39,All,0.0,1,0.4282181703564136,0.43274452649127954,0.2725,0.24624611466712792,0.5638629034648556,2,middle,
40,Training,0.0,1,0.43664687667989166,0.44609291859751765,0.24375,0.2231322540902049,0.5559064675801235,2,middle,
41,Test,0.0,1,0.3945033450625013,0.3793509580663267,0.3875,0.3387015569748201,0.5956886470037835,2,middle,1.0
42,All,0.0,1,0.4699348894248152,0.4919594175820411,0.1725,0.17115242796371688,0.5409907205859673,2,late,
43,Training,0.0,1,0.48117494749812956,0.5091899603580778,0.140625,0.14238285292496805,0.5273828075649023,2,late,
44,Test,0.0,1,0.4249746571315579,0.42303724647789387,0.3,0.2862307281187123,0.5954223726702276,2,late,1.0
45,All,0.0,1,0.43345738708293835,0.4342571896802104,0.29,0.23136495023394132,0.5438336563900016,3,interleaved,
46,Training,0.0,1,0.44549409224679154,0.44928585480716327,0.2875,0.23386495308172703,0.5457899047156889,3,interleaved,
47,Test,0.0,1,0.38531056642752604,0.37414252917239865,0.3,0.2213649388427986,0.5360086630872523,3,interleaved,1.0
48,All,0.0,1,0.43722556361043996,0.4446028239155707,0.265,0.21774272067265174,0.5568559603867417,3,blocked,
49,Training,0.0,1,0.4454800357124779,0.4570378284873241,0.21875,0.17936448085324808,0.5368614890446259,3,blocked,
50,Test,0.0,1,0.40420767520228806,0.394862805628557,0.45,0.3712556799502663,0.6368338457552045,3,blocked,1.0
51,All,0.0,1,0.4797025793281906,0.4480372758462599,0.345,0.27761887736841434,0.5593662170857696,3,early,
52,Training,0.0,1,0.49044020306895264,0.45966622250956063,0.328125,0.25355674942135387,0.5449832994939878,3,early,
53,Test,0.0,1,0.43675208436514235,0.4015214891930571,0.4125,0.3738673891566563,0.616897887452897,3,early,1.0
54,All,0.0,1,0.47248637870093907,0.46857218452447424,0.29,0.237426336971283,0.5736924145259646,3,middle,
55,Training,0.0,1,0.47855121859076405,0.4891933511824888,0.21875,0.1880401377910216,0.5681405342930921,3,middle,
56,Test,0.0,1,0.448227019141639,0.3860875178924162,0.575,0.4349711336923286,0.5958999354574546,3,middle,1.0
57,All,0.0,1,0.4640590266136841,0.4399540656740639,0.3375,0.2623633226012299,0.553343466107261,3,late,
58,Training,0.0,1,0.4700788407726676,0.45000262714749295,0.31875,0.2387829140156365,0.5404120953460488,3,late,
59,Test,0.0,1,0.43997976997774985,0.39975981978034736,0.4125,0.35668495694360336,0.60506894915211,3,late,1.0
60,All,0.0,1,0.4332207522116612,0.42399262772792345,0.2475,0.19681085572800414,0.5208692969085251,4,interleaved,
61,Training,0.0,1,0.4389994075491794,0.43379919557460633,0.234375,0.18760187575893592,0.5111074785938138,4,interleaved,
62,Test,0.0,1,0.4101061308615885,0.38476635634119233,0.3,0.23364677560427718,0.5599165701673711,4,interleaved,1.0
63,All,0.0,1,0.42355511626445846,0.39141271418032614,0.245,0.22086327980361936,0.5276383756567273,4,blocked,
64,Training,0.0,1,0.4329908734283532,0.4079218951713027,0.209375,0.19895456107053322,0.5190618749639924,4,blocked,
65,Test,0.0,1,0.3858120876088795,0.3253759902164203,0.3875,0.30849815473596404,0.5619443784276673,4,blocked,1.0
66,All,0.0,1,0.470705990653992,0.46232598498851035,0.1925,0.1911539010369467,0.5201002803910993,4,early,
67,Training,0.0,1,0.47837712887621053,0.4790595703931535,0.171875,0.1694130985609818,0.5159870520223198,4,early,
68,Test,0.0,1,0.4400214377651176,0.39539164336993754,0.275,0.2781171109408064,0.536553193866218,4,early,1.0
69,All,0.0,1,0.4099838539255475,0.3803359122845664,0.22,0.20060335793411913,0.5448732351459169,4,middle,
70,Training,0.0,1,0.414799116405857,0.3901779017264906,0.215625,0.19576982463340298,0.5507393739065239,4,middle,
71,Test,0.0,1,0.39072280400430925,0.34096795451687006,0.2375,0.21993749113698363,0.5214086801034882,4,middle,1.0
72,All,0.0,1,0.4508317874826555,0.43613570458410755,0.26,0.23342163441155883,0.5257080459804003,4,late,
73,Training,0.0,1,0.46069839879164404,0.4539587213127472,0.234375,0.2144269008949517,0.5230070888440581,4,late,
74,Test,0.0,1,0.4113653422467011,0.36484363766954886,0.3625,0.30940056847798714,0.5365118745257694,4,late,1.0
75,All,0.0,1,0.43813131568187297,0.39660595976537344,0.26,0.22406101033622966,0.5192082423884239,5,interleaved,
76,Training,0.0,1,0.4465942538629858,0.41073514209183576,0.2375,0.20631723714110625,0.5025426093676103,5,interleaved,
77,Test,0.0,1,0.4042795629574219,0.34008923045952416,0.35,0.29503610311672324,0.5858707744716781,5,interleaved,1.0
78,All,0.0,1,0.49884804950578837,0.4805499500129365,0.3,0.2608659663539449,0.5329897391158112,5,blocked,
79,Training,0.0,1,0.5013332197188305,0.49143817546064755,0.26875,0.24187364648947302,0.5267200366755849,5,blocked,
80,Test,0.0,1,0.4889073686536197,0.43699704822209223,0.425,0.3368352458118323,0.558068548876716,5,blocked,1.0
81,All,0.0,1,0.4803646432580324,0.4480610327676116,0.395,0.3052317756720233,0.5678356659678983,5,early,
82,Training,0.0,1,0.4861781920212116,0.4622717433277003,0.35625,0.2825640573238295,0.5612429927539416,5,early,
83,Test,0.0,1,0.4571104482053157,0.39121819052725726,0.55,0.3959026490647984,0.5942063588237245,5,early,1.0
84,All,0.0,1,0.4330530221049377,0.4053676880995935,0.285,0.25672534367602223,0.5506891074071958,5,middle,
85,Training,0.0,1,0.43907136561192717,0.4153609245814735,0.284375,0.2559381118840931,0.5497180589813506,5,middle,
86,Test,0.0,1,0.4089796480769802,0.36539474217207346,0.2875,0.2598742708437389,0.5545733011105758,5,middle,1.0
87,All,0.0,1,0.4454748293553951,0.45337545762932974,0.305,0.26590746372206614,0.5466139022384752,5,late,
88,Training,0.0,1,0.4547525877008543,0.4645180385905716,0.28125,0.24791552030998049,0.5512852034825813,5,late,
89,Test,0.0,1,0.4083637959735583,0.40880513378436206,0.4,0.3378752373704088,0.5279286972620516,5,late,1.0
90,All,0.0,1,0.4356025298436373,0.43278788869582846,0.2375,0.2194290150979655,0.5472203656218642,6,interleaved,
91,Training,0.0,1,0.44532706754333395,0.44498734930833156,0.228125,0.21081570569590208,0.5549533027063509,6,interleaved,
