,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.47323005745845304,0.46772301280591677,0.23,0.20714474528453222,0.5085402290128244,0,interleaved,
1,Training,0.0,1,0.4772992302522261,0.47644145912343794,0.209375,0.1874125882553057,0.5023007616215651,0,interleaved,
2,Test,0.0,1,0.4569533662833607,0.432849227535832,0.3125,0.28607337340143846,0.5334980985778609,0,interleaved,1.0
3,All,0.0,1,0.455785140838492,0.4599452233208962,0.3675,0.2931170875960278,0.5760483662262995,0,blocked,
4,Training,0.0,1,0.4620226338456558,0.4723189556684669,0.35625,0.27929860057227696,0.5791136147218734,0,blocked,
5,Test,0.0,1,0.4308351688098368,0.4104502939306137,0.4125,0.3483910356910311,0.5637873722440038,0,blocked,1.0
6,All,0.0,1,0.4387963659646185,0.4522394960705994,0.215,0.17871608861815808,0.5313821020604166,0,early,
7,Training,0.0,1,0.4501251681425655,0.46769162066715886,0.203125,0.1739262443685367,0.5290916871550209,0,early,
8,Test,0.0,1,0.3934811572528305,0.39043099768436135,0.2625,0.19787546561664351,0.5405437616819994,0,early,1.0
9,All,0.0,1,0.48708467044693166,0.460053940958336,0.3,0.23598734147364983,0.5435688213810329,0,middle,
10,Training,0.0,1,0.49689483854113886,0.4776167500966523,0.265625,0.22298390947438462,0.5427311649384389,0,middle,
11,Test,0.0,1,0.4478439980701026,0.3898027044050711,0.4375,0.2880010694707105,0.5469194471514094,0,middle,1.0
12,All,0.0,1,0.454867801927096,0.4607073439294912,0.22,0.1973507527726839,0.5246925786206951,0,late,
13,Training,0.0,1,0.4683345394539283,0.4771361060862489,0.190625,0.18572372670647813,0.5257775607746742,0,late,
14,Test,0.0,1,0.4010008518197671,0.3949922953024607,0.3375,0.2438588570375071,0.520352650004779,0,late,1.0
15,All,0.0,1,0.45538252417097147,0.44696255258198675,0.3425,0.2830376746034654,0.5603769926135813,1,interleaved,
16,Training,0.0,1,0.4630126121760821,0.45904227592142705,0.296875,0.25249365854456524,0.5317860178468523,1,interleaved,
17,Test,0.0,1,0.4248621721505289,0.39864365922422546,0.525,0.4052137388390662,0.6747408916804976,1,interleaved,1.0
18,All,0.0,1,0.47436789263384865,0.4947006052221889,0.155,0.14007037690022373,0.5120943052030325,1,blocked,
19,Training,0.0,1,0.48413693689945847,0.5108367131711613,0.13125,0.1140040439760012,0.5034023480925848,1,blocked,
20,Test,0.0,1,0.43529171557140983,0.4301561734262985,0.25,0.244335708597114,0.5468621336448225,1,blocked,1.0
21,All,0.0,1,0.4458764166866582,0.4547695115973762,0.1075,0.11941294110887664,0.527810644921285,1,early,
22,Training,0.0,1,0.4548210985157727,0.46805131356030866,0.1,0.1164538403825173,0.528069675609538,1,early,
23,Test,0.0,1,0.4100976893702002,0.40164230374564636,0.1375,0.13124934401431415,0.5267745221682727,1,early,1.0
24,All,0.0,1,0.4657248153196369,0.459115223072683,0.2975,0.23759796901572194,0.5482607443211182,1,middle,
25,Training,0.0,1,0.47194767780367775,0.46715822003497465,0.29375,0.2319552726615997,0.5433387141092558,1,middle,
