,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.4732521471417818,0.5135754705428569,0.0875,0.09888081851068176,0.4937414435084894,0,interleaved,
1,Training,0.0,1,0.48007575075407194,0.5239913038459243,0.0625,0.08551182001025416,0.4954917304751681,0,interleaved,
2,Test,0.0,1,0.44595773269262134,0.4719121373305869,0.1875,0.15235681251239214,0.4867402956417746,0,interleaved,1.0
3,All,0.0,1,0.5090465279032164,0.5161432922244588,0.07,0.09144786154888015,0.5147004934522159,0,blocked,
4,Training,0.0,1,0.517317647307655,0.5243642920873592,0.065625,0.09056833617081468,0.5154008396106156,0,blocked,
5,Test,0.0,1,0.47596205028546223,0.4832592927728571,0.0875,0.09496596306114201,0.5118991088186172,0,blocked,1.0
6,All,0.0,1,0.5335698621219835,0.5657446524602657,0.1375,0.10327803103414418,0.5017060936676682,0,early,
7,Training,0.0,1,0.5423779289702609,0.5795824519733119,0.13125,0.09732753645325425,0.49395100377418577,0,early,
8,Test,0.0,1,0.4983375947288743,0.5103934544080808,0.1625,0.12708000935770386,0.5327264532415972,0,early,1.0
9,All,0.0,1,0.5203542766612216,0.4955793937837243,0.0975,0.12283961845685393,0.4930115993200033,0,middle,
10,Training,0.0,1,0.5294697086761123,0.5055377310232579,0.1125,0.12893119210921247,0.4946759201270211,0,middle,
11,Test,0.0,1,0.4838925486016585,0.4557460448255899,0.0375,0.09847332384741976,0.4863543160919317,0,middle,1.0
12,All,0.0,1,0.4988817501847616,0.44964570990055236,0.0925,0.11671940571137075,0.5225872411022239,0,late,
13,Training,0.0,1,0.5066370068420055,0.45399250510637684,0.084375,0.11103451779226566,0.5114332246502574,0,late,
14,Test,0.0,1,0.4678607235557861,0.43225852907725404,0.125,0.13945895738779113,0.5672033069100895,0,late,1.0
15,All,0.0,1,0.4680188556595266,0.44755574678656457,0.045,0.09687157378934794,0.5065902151546579,1,interleaved,
16,Training,0.0,1,0.4724947248019201,0.4548819328305381,0.0375,0.09373263616741598,0.5036429253664838,1,interleaved,
17,Test,0.0,1,0.45011537908995225,0.41825100261067016,0.075,0.10942732427707577,0.5183793743073541,1,interleaved,1.0
18,All,0.0,1,0.4748685904051435,0.466624064292305,0.2025,0.15421100305742402,0.5128893352539723,1,blocked,
19,Training,0.0,1,0.4815536559514155,0.47583727481582516,0.2,0.14922308882768007,0.5129523581934338,1,blocked,
20,Test,0.0,1,0.44812832822005527,0.4297712221982243,0.2125,0.17416265997639996,0.5126372434961262,1,blocked,1.0
21,All,0.0,1,0.4852636356925427,0.4779360734306434,0.0825,0.08732623067873725,0.5027045888727645,1,early,
22,Training,0.0,1,0.4934704620546305,0.4878597030756879,0.096875,0.0922971274185302,0.5079760766483947,1,early,
23,Test,0.0,1,0.45243633024419155,0.4382415548504655,0.025,0.0674426437195654,0.4816186377702435,1,early,1.0
24,All,0.0,1,0.5018825435787501,0.5015251740555177,0.055,0.08902867618451105,0.5035438044893232,1,middle,
