,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.4765239875580999,0.43096046731174664,0.27,0.2330271793426548,0.5203356603232802,0,interleaved,
1,Training,0.0,1,0.48533443923533953,0.4414321822956605,0.246875,0.2144043153909479,0.5043034369993047,0,interleaved,
2,Test,0.0,1,0.44128218084914095,0.38907360737609115,0.3625,0.3075186351494825,0.5844645536191815,0,interleaved,1.0
3,All,0.0,1,0.4874419148866449,0.43933791585289567,0.245,0.21512052460854236,0.5371239970354061,0,blocked,
4,Training,0.0,1,0.49619041652008755,0.4509033567388002,0.24375,0.20856898701238524,0.5319871429025478,0,blocked,
5,Test,0.0,1,0.45244790835287446,0.39307615230927767,0.25,0.2413266749931709,0.5576714135668401,0,blocked,1.0
6,All,0.0,1,0.46295640027557355,0.4569145776084532,0.265,0.20448068232390282,0.5281111908823759,0,early,
7,Training,0.0,1,0.465679351630822,0.4659979304898204,0.240625,0.1863804414899865,0.5171635381857493,0,early,
8,Test,0.0,1,0.45206459485457956,0.4205811660829847,0.3625,0.276881645659568,0.571901801668882,0,early,1.0
9,All,0.0,1,0.44693430792738026,0.44042415576954114,0.115,0.12632865870712717,0.5444306169810033,0,middle,
10,Training,0.0,1,0.45400868158453234,0.44795810111709217,0.10625,0.12241045985673382,0.5420630409867211,0,middle,
11,Test,0.0,1,0.41863681329877134,0.4102883743793372,0.15,0.14200145410870055,0.5539009209581318,0,middle,1.0
12,All,0.0,1,0.4370404078626758,0.42819491399363424,0.185,0.1672815117155357,0.5153182338378732,0,late,
13,Training,0.0,1,0.4415158937412734,0.4366794698242309,0.16875,0.15418288624297502,0.509045711181859,0,late,
14,Test,0.0,1,0.4191384643482856,0.3942566906712476,0.25,0.21967601360577832,0.5404083244619299,0,late,1.0
15,All,0.0,1,0.42156687897180284,0.4282982144175985,0.0925,0.10233208952977729,0.5199443106509888,1,interleaved,
16,Training,0.0,1,0.43082513985352877,0.4412701390615455,0.1,0.10029774723314126,0.5142799157645331,1,interleaved,
17,Test,0.0,1,0.38453383544489905,0.3764105158418106,0.0625,0.11046945871632138,0.542601890196811,1,interleaved,1.0
18,All,0.0,1,0.44729114387222757,0.437668256347325,0.17,0.16947934053651018,0.51919599570232,1,blocked,
