,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.04008857664149155,11,0.49901903921288854,0.5357736435047994,0.11,0.08740465584040864,0.5029428061611554,0,interleaved,
1,Training,0.042035923875597,11,0.5122059845864362,0.5526010781433939,0.096875,0.08052690890604766,0.4927579733846711,0,interleaved,
2,Test,-0.016640665626625004,2,0.4462712577186981,0.4684639049504217,0.1625,0.11491564357785256,0.5436821372670924,0,interleaved,1.0
3,All,0.0,1,0.47688918701599564,0.4449428144138771,0.215,0.17690833981406084,0.4992627307167908,0,blocked,
4,Training,0.0,1,0.4845560826417068,0.4542240420720459,0.1875,0.16438722827293978,0.49933173170019546,0,blocked,
5,Test,0.0,1,0.44622160451315096,0.40781790378120225,0.325,0.22699278597854508,0.49898672678317196,0,blocked,1.0
6,All,0.018831401072896315,11,0.4931385196097035,0.4983543647167184,0.1275,0.12651876431000642,0.505723557904982,0,early,
7,Training,0.015913734951623733,11,0.506361401570671,0.517815755174295,0.109375,0.11557278353629388,0.49458226449748377,0,early,
8,Test,0.0,1,0.4402469917658331,0.4205088028864118,0.2,0.17030268740485646,0.5502887315349748,0,early,1.0
9,All,0.004815390399511878,9,0.48863980341551183,0.48530877011251533,0.125,0.11489737614723801,0.49437084427502426,0,middle,
10,Training,0.0029693147818479733,9,0.5077557624451888,0.5026539094286733,0.0875,0.09361564188033542,0.48279177537361023,0,middle,
11,Test,0.0,1,0.4121759672968038,0.4159282128478834,0.275,0.20002431321484834,0.5406871198806804,0,middle,1.0
12,All,-6.365564307274786e-05,3,0.44049856391670106,0.4234487549815493,0.12,0.13382402019230416,0.50505905593097,0,late,
13,Training,-0.00015531567911784808,3,0.44925914482495927,0.43544411025381197,0.090625,0.11824900353184516,0.48539293215426743,0,late,
14,Test,0.0,1,0.4054562402836684,0.3754673338924995,0.2375,0.19612408683414023,0.5837235510377801,0,late,1.0
15,All,3.0162727917972383e-06,5,0.47801474496561686,0.48730051458566337,0.14,0.13816078593586387,0.5118232813831112,1,interleaved,
16,Training,5.8998790525169856e-06,5,0.48458443068040535,0.49469218467336457,0.1125,0.12280298108689816,0.5117811147024659,1,interleaved,
17,Test,0.0,1,0.4517360021064624,0.4577338342348586,0.25,0.19959200533172666,0.5119919481056925,1,interleaved,1.0
18,All,0.043178155642115794,11,0.47639155213547973,0.48207620182714045,0.1175,0.10338187604660147,0.49011556117590344,1,blocked,
19,Training,0.033175467583628784,11,0.4831713074980638,0.49498858583329836,0.1125,0.10030083315062643,0.4953081251470694,1,blocked,
20,Test,-0.022913256955810084,2,0.44927253068514317,0.4304266658025089,0.1375,0.11570604763050171,0.4693453052912395,1,blocked,1.0
21,All,0.0786008200624168,29,0.5435043540213191,0.522604902919834,0.1825,0.15354719459913327,0.4812202506512902,1,early,
22,Training,0.06488779103690731,29,0.5671186440671758,0.5509395503248508,0.184375,0.15251354719798532,0.479608415286865,1,early,
23,Test,0.0,1,0.44904719383789243,0.40926631329976687,0.175,0.15768178420372506,0.4876675921089911,1,early,1.0
24,All,-0.0014425637496536608,5,0.46359290542011533,0.4629846031820965,0.115,0.11726802500005784,0.49746997616636557,1,middle,
25,Training,-0.0005883707247193863,5,0.4720928378495799,0.47367429730644267,0.10625,0.11264480161008539,0.5012682109729235,1,middle,
26,Test,0.0,1,0.4295931757022571,0.42022582668471165,0.15,0.1357609185599475,0.4822770369401341,1,middle,1.0
27,All,-0.0001980392117638856,2,0.45694099235216185,0.4235880687022041,0.235,0.1984318010110561,0.4919304165815837,1,late,
28,Training,0.0,2,0.46452641537505174,0.43412577901940674,0.221875,0.193814652653494,0.49303921114365074,1,late,
29,Test,0.0,1,0.4265993002606022,0.38143722743339364,0.2875,0.21690039444130438,0.4874952383333152,1,late,1.0
30,All,0.0005558725236575794,4,0.48059743166518376,0.47727362665757744,0.0775,0.10079367354774003,0.5188316182809442,2,interleaved,
31,Training,-0.00015337332837831846,4,0.49049145662586896,0.48679311701029687,0.0625,0.09597101910948111,0.5237829766833004,2,interleaved,
32,Test,0.0,1,0.441021331822443,0.4391956652466996,0.1375,0.1200842913007758,0.49902618467151855,2,interleaved,1.0
33,All,0.0,1,0.4617859874176747,0.43352234460328704,0.1825,0.16052817110248327,0.5440324111738738,2,blocked,
34,Training,0.0,1,0.4654747928688147,0.4402989296211893,0.165625,0.1511851980082314,0.5472720440820833,2,blocked,
35,Test,0.0,1,0.44703076561311433,0.4064160045316777,0.25,0.1979000634794908,0.5310738795410354,2,blocked,1.0
36,All,0.011383998095957967,9,0.4679111302415336,0.46687000155324093,0.0925,0.11103219536560859,0.5192902572995213,2,early,
37,Training,0.013705913629113367,9,0.47900389769063095,0.48095384442334443,0.075,0.09927572404223453,0.5190963226661156,2,early,
38,Test,0.0,1,0.42354006044514436,0.41053463007282637,0.1625,0.1580580806591049,0.5200659958331441,2,early,1.0
39,All,0.0019240869150127604,12,0.5299161083039433,0.521588797463297,0.0575,0.0895841400277072,0.4890076396004622,2,middle,
40,Training,-0.00010237167611962845,12,0.5419568597579285,0.5400482492636314,0.040625,0.07486989424161114,0.4826021026171432,2,middle,
41,Test,0.0,1,0.4817531024880028,0.4477509902619591,0.125,0.1484411231720914,0.5146297875337382,2,middle,1.0
42,All,0.0,1,0.4263211204051615,0.4184686290116504,0.185,0.14947134740095772,0.551215080413733,2,late,
43,Training,0.0,1,0.43313805293726576,0.42839870080517856,0.190625,0.14659306937455135,0.5452251261757008,2,late,
44,Test,0.0,1,0.3990533902767448,0.3787483418375376,0.1625,0.16098445950658305,0.5751748973658619,2,late,1.0
45,All,0.0,1,0.45132778846920935,0.46676246610367833,0.055,0.08259149535205065,0.49879399616882025,3,interleaved,
46,Training,0.0,1,0.4585072037309945,0.4750192824908434,0.05,0.07204255471746879,0.49501767716536493,3,interleaved,
47,Test,0.0,1,0.42261012742206866,0.43373520055501763,0.075,0.12478725789037806,0.5138992721826419,3,interleaved,1.0
48,All,0.0,1,0.44275010731103615,0.41489424879863285,0.175,0.16050094890268962,0.5307542555656132,3,blocked,
49,Training,0.0,1,0.4466955280333472,0.4228532035758688,0.178125,0.16013003446043111,0.5278263860804404,3,blocked,
50,Test,0.0,1,0.4269684244217916,0.3830584296896892,0.1625,0.1619846066717237,0.5424657335063037,3,blocked,1.0
51,All,-0.002654528798463047,5,0.480181879504448,0.48443172162262726,0.1625,0.1346861299016113,0.48508431147451864,3,early,
52,Training,0.00016718855722187517,5,0.49182304051801046,0.49740785646255486,0.146875,0.12269246018959475,0.4843386969158171,3,early,
53,Test,0.0,1,0.43361723545019826,0.4325271822629171,0.225,0.18266080874967763,0.48806676970932444,3,early,1.0
54,All,0.0006186074725380615,2,0.4362796339252773,0.41217742696541465,0.175,0.1532799334316373,0.5284160598645152,3,middle,
55,Training,0.0,2,0.4408038728232232,0.4188061542236799,0.165625,0.1442259251630801,0.518117783250703,3,middle,
56,Test,0.0,1,0.4181826783334938,0.38566251793235323,0.2125,0.18949596650586603,0.569609166319764,3,middle,1.0
57,All,-0.002641687649478874,19,0.5164264116913772,0.5547766732836318,0.04,0.052009116277116615,0.518260574971748,3,late,
58,Training,0.0044040089346949205,19,0.5356846228810995,0.5736672817082102,0.028125,0.042913444838475645,0.5172472151851043,3,late,
59,Test,0.027279812938425435,2,0.43939356693248754,0.47921423958531817,0.0875,0.08839180203168054,0.5223140141183233,3,late,1.0
60,All,-0.000956194791343523,6,0.4681074959494385,0.496580103759365,0.0075,0.05707282243181595,0.49621034542665393,4,interleaved,
61,Training,0.0003225758864688964,6,0.47730456519424874,0.5076277925960577,0.009375,0.055417667564801466,0.49749166192664696,4,interleaved,
62,Test,0.0,1,0.43131921897019737,0.45238934841259404,0.0,0.06369344189987391,0.491085079426682,4,interleaved,1.0
63,All,0.0007357988932761022,4,0.45080366671948924,0.4557855825411632,0.1575,0.1452819072546047,0.5119993684802623,4,blocked,
64,Training,-0.00014946345569343043,4,0.45775196423051895,0.4679661533603712,0.134375,0.12656890624664355,0.5057094957511796,4,blocked,
65,Test,0.0,1,0.42301047667537,0.40706329926433094,0.25,0.22013391128644938,0.5371588593965934,4,blocked,1.0
66,All,0.0010055228341666824,6,0.4851584334874675,0.4598064559347301,0.185,0.17708193941335973,0.46960824179266,4,early,
67,Training,0.0015735409096048652,6,0.4925159385194493,0.46675217159930504,0.190625,0.17767072795022804,0.4776263661336623,4,early,
68,Test,0.0,1,0.4557284133595405,0.4320235932764299,0.1625,0.17472678526588656,0.43753574442865106,4,early,1.0
69,All,-9.852187034736826e-05,4,0.4732382125144373,0.4821038151558089,0.1725,0.12950960390453894,0.5027080505664168,4,middle,
70,Training,-0.00015337332837831846,4,0.4853728530627197,0.4981717208650524,0.1375,0.11200490116914516,0.4961602996009547,4,middle,
71,Test,0.0,1,0.4246996503213076,0.4178321923188351,0.3125,0.1995284148461141,0.5288990544282648,4,middle,1.0
72,All,0.0,1,0.4206064794486151,0.39776734723135626,0.1675,0.17061870209726954,0.4937469640495321,4,late,
