,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,-0.0021309587385535036,33,0.6148420253212634,0.6367798079473033,0.0825,0.0976285736504223,0.48959263075212817,0,interleaved,
1,Training,-0.0003971276409728603,33,0.6413077882892148,0.6621977574323662,0.0875,0.09780154212206423,0.5025907277384768,0,interleaved,
2,Test,0.0,1,0.5089789734494584,0.535108010007052,0.0625,0.09693669976385451,0.43760024280673343,0,interleaved,1.0
3,All,0.019029926801666208,22,0.457917470476367,0.47595133044158905,0.1825,0.13453368188476642,0.5104269715246982,0,blocked,
4,Training,0.036652518973161595,22,0.47316162724972444,0.4937180569481502,0.1875,0.13696363008990295,0.5136491390945347,0,blocked,
5,Test,0.0,1,0.3969408433829374,0.40488442441534467,0.1625,0.1248138890642203,0.4975383012453518,0,blocked,1.0
6,All,0.0,1,0.4509243131802931,0.4547379115138611,0.13,0.12845137691691602,0.47311708447267864,0,early,
7,Training,0.0,1,0.4620312296101116,0.46477689883695883,0.134375,0.1273086973159849,0.4742939737107884,0,early,
8,Test,0.0,1,0.4064966474610192,0.41458196222146987,0.1125,0.1330220953206404,0.4684095275202397,0,early,1.0
9,All,0.00032464930061757515,13,0.4890966794267603,0.4968174079368401,0.16,0.13036129254309597,0.4898716497029008,0,middle,
10,Training,-0.0005337440470796554,13,0.5069697440035408,0.5186081563426896,0.1375,0.11533510106982395,0.4949001635405678,0,middle,
11,Test,0.0,1,0.41760442111963847,0.40965441431344196,0.25,0.19046605843618405,0.469757594352233,0,middle,1.0
12,All,-0.00047493346164516223,4,0.4506109385162864,0.4377992892703335,0.1325,0.13316758453558072,0.5006657403214396,0,late,
13,Training,-0.00015337332837831846,4,0.46077891523569087,0.4512241736229733,0.11875,0.12286127630789374,0.4976616167660401,0,late,
14,Test,0.0,1,0.40993903163866846,0.38409975185977485,0.1875,0.17439281744632865,0.5126822345430379,0,late,1.0
15,All,-0.0037351544122616043,14,0.4726218228359044,0.5040728078202585,0.03,0.07197465247198095,0.5059364861650727,1,interleaved,
16,Training,0.0008883881172670955,14,0.4828849183250668,0.5182225331840382,0.021875,0.06842091701228296,0.49966258551720005,1,interleaved,
17,Test,0.0,1,0.4315694408792551,0.44747390636513984,0.0625,0.08618959431077292,0.5310320887565625,1,interleaved,1.0
18,All,0.0005558725236575794,4,0.47268320630519434,0.4689795844235452,0.1875,0.17799202897631625,0.5027158052671751,1,blocked,
19,Training,-0.00015337332837831846,4,0.4806703901101168,0.4764407960399467,0.1875,0.17606525701362796,0.5108622596229105,1,blocked,
20,Test,0.0,1,0.4407344710855044,0.43913473795793934,0.1875,0.18569911682706947,0.47012998784423277,1,blocked,1.0
21,All,0.016619073293256834,5,0.46648733408491794,0.4590487794058232,0.12,0.10525019655417228,0.5016319514016311,1,early,
22,Training,0.008029757336009812,5,0.48080058921016217,0.4753549343298573,0.09375,0.09146605296648416,0.4918572443461782,1,early,
23,Test,0.0,1,0.40923431358394113,0.393824159709687,0.225,0.16038677090492479,0.5407307796234428,1,early,1.0
24,All,-3.572028967431291e-05,3,0.4744016394650132,0.4558923591938898,0.1125,0.13521338869106203,0.5413257625700212,1,middle,
25,Training,-0.00015531567911784808,3,0.48185263501959397,0.46300289554242263,0.115625,0.13471879623992838,0.5449074708324296,1,middle,
26,Test,0.0,1,0.4445976572466901,0.4274502137997588,0.1,0.1371917584955966,0.5269989295203874,1,middle,1.0
27,All,0.004977420062482514,19,0.49574835488125796,0.5016082723143548,0.16,0.15393448063237977,0.5311347326982834,1,late,
28,Training,0.0005263796024946145,19,0.5055263461154462,0.5164592186821683,0.1375,0.14799025996826448,0.513974142158791,1,late,
29,Test,-0.0199203187250996,2,0.45663638994450495,0.4422044868431014,0.25,0.17771136328884082,0.5997770948562532,1,late,1.0
30,All,0.0,2,0.47124485653478393,0.43337910577393424,0.205,0.16675281693411342,0.5026351401803404,2,interleaved,
31,Training,0.0,2,0.4768367315034257,0.4391178028748145,0.196875,0.15936675841326794,0.4973288546609987,2,interleaved,
32,Test,0.0,1,0.448877356660217,0.4104243173704131,0.2375,0.19629705101749537,0.5238602822577068,2,interleaved,1.0
33,All,-0.003207146924111939,5,0.4805784331197548,0.4699642929781778,0.2325,0.17415772363340715,0.5248305278830984,2,blocked,
34,Training,0.0009439806483967454,5,0.4877894848383883,0.48038816409016344,0.215625,0.16448578775371603,0.5233965410826968,2,blocked,
35,Test,0.0,1,0.45173422624522075,0.4282688085302356,0.3,0.21284546715217165,0.5305664750847042,2,blocked,1.0
36,All,0.0005046415877044617,3,0.45011327595632905,0.4229134655742976,0.1925,0.15342236609857868,0.5138920491268736,2,early,
37,Training,0.0001572817003724216,3,0.45740142728623107,0.4301374109007023,0.16875,0.14421951429927848,0.5140860409242969,2,early,
38,Test,0.0,1,0.4209606706367214,0.3940176842686792,0.2875,0.1902337732957795,0.5131160819371796,2,early,1.0
39,All,-0.000481831725048245,9,0.4870607142789597,0.4927579624051978,0.0525,0.0881466651939559,0.5090362599530782,2,middle,
40,Training,-0.0007459117541129475,9,0.4978931722323201,0.5053958154953679,0.05625,0.09072041457904109,0.5055431403865536,2,middle,
41,Test,0.0,1,0.44373088246551845,0.44220655004451703,0.0375,0.07785166765361515,0.5230087382191765,2,middle,1.0
42,All,-0.0007772771267541887,17,0.5438014744995369,0.5015801921623892,0.2325,0.21115808643154374,0.5334290310934188,2,late,
43,Training,-0.0015511148514813354,17,0.5667690653910475,0.5220359037745645,0.2375,0.21278906547130952,0.5441586813285161,2,late,
44,Test,0.0,1,0.45193111093349403,0.41975734571368833,0.2125,0.20463417027248046,0.4905104301530295,2,late,1.0
45,All,-0.0009266051114521286,16,0.4942242408689784,0.4676362608030252,0.23,0.17468940986636844,0.5340850455161766,3,interleaved,
46,Training,-0.0009927904503014367,16,0.5092140532791515,0.4868125205924761,0.2,0.15718712471343704,0.52603531559189,3,interleaved,
47,Test,0.0,1,0.4342649912282856,0.39093122164522215,0.35,0.24469855047809377,0.5662839652133231,3,interleaved,1.0
48,All,0.012434961102252482,20,0.5350421714016815,0.5143328363417489,0.2125,0.15952354130448299,0.5131651694185831,3,blocked,
49,Training,0.049626758555648846,20,0.5531188968620971,0.5316491628802227,0.203125,0.14999262568787727,0.5056300855581564,3,blocked,
50,Test,0.0,1,0.4627352695600188,0.44506753018785317,0.25,0.19764720377090594,0.5433055048602906,3,blocked,1.0
51,All,-0.0034703981020954015,7,0.501685415690822,0.5225439620416803,0.035,0.06882207907786242,0.5081114656589925,3,early,
52,Training,-0.0002843879881623042,7,0.5134959383541533,0.5353388640594335,0.034375,0.0673623935955959,0.5108060903955373,3,early,
53,Test,0.008349916110655779,2,0.45444332503749707,0.4713643539706675,0.0375,0.07466082100692845,0.4973329667128127,3,early,1.0
54,All,-0.0011153088064872212,13,0.5402191819615372,0.4918494542677305,0.1425,0.1393925042089625,0.4958153523066651,3,middle,
55,Training,-0.0006580094426326164,13,0.5616110184823575,0.5096036186311925,0.1375,0.13384457004063344,0.4958138226920122,3,middle,
56,Test,0.0,1,0.45465183587825586,0.420832796813883,0.1625,0.16158424088227868,0.495821470765277,3,middle,1.0
57,All,-0.0005157191486931485,25,0.5326986946463197,0.5646838539740537,0.0175,0.04610162884774488,0.49811907504542985,3,late,
58,Training,-0.0004576853156992627,24,0.5537072644404867,0.5840270008853091,0.01875,0.04648720665468723,0.506477143956876,3,late,
59,Test,0.024960998439937654,2,0.44866441546965175,0.48731126632903177,0.0125,0.04455931761997548,0.46468679939964525,3,late,0.975
60,All,0.001337834965436063,3,0.46402137534384885,0.463384418244954,0.1025,0.11541163169190544,0.5084041526733959,4,interleaved,
61,Training,0.0001572817003724216,3,0.4702479679563993,0.4690582321540024,0.10625,0.10767974978413283,0.5078018790420832,4,interleaved,
62,Test,0.0,1,0.43911500489364663,0.4406891626087603,0.0875,0.14633915932299585,0.5108132471986467,4,interleaved,1.0
63,All,0.00020204000392081998,2,0.4483402682903747,0.4205834168223108,0.1475,0.16942048397830142,0.5411974072756771,4,blocked,
64,Training,0.0,2,0.45628408519784514,0.4308726612018738,0.125,0.1570977688204937,0.5370504263939532,4,blocked,
65,Test,0.0,1,0.41656500066049273,0.37942643930405906,0.2375,0.21871134460953243,0.5577853308025731,4,blocked,1.0
66,All,0.0015264166753055182,4,0.46796843294091495,0.45096987981849634,0.145,0.13671683263420806,0.5052207883466074,4,early,
67,Training,0.00047191793347124597,4,0.47162302093543035,0.45788277791005816,0.140625,0.13202321367682077,0.5049973984319669,4,early,
68,Test,0.0,1,0.45335008096285323,0.4233182874522489,0.1625,0.15549130846375714,0.5061143480051693,4,early,1.0
69,All,0.001891664329798005,10,0.5106647396377139,0.47969612025953734,0.1925,0.17315773062203185,0.5084900930401571,4,middle,
70,Training,-0.00059043204865166,10,0.526694295263364,0.4942272360996286,0.196875,0.16967946360905653,0.5157652384740977,4,middle,
71,Test,0.0,1,0.4465465171351133,0.4215716568991728,0.175,0.18707079867393336,0.47938951130439483,4,middle,1.0
72,All,-0.0009467161649467231,10,0.47953376214985516,0.4676383239231835,0.17,0.13706578733466507,0.48318505854882177,4,late,
73,Training,-0.0008947716952572172,10,0.4933253162753372,0.4809361988728611,0.140625,0.1261979740537454,0.4765649531090375,4,late,
74,Test,-0.013046815042210343,2,0.42436754564792695,0.4144468241244728,0.2875,0.18053704045834387,0.5096654803079586,4,late,1.0
75,All,0.003211770558764553,2,0.4866827736248673,0.4614158689130945,0.2825,0.21696098246757395,0.5363162700156998,5,interleaved,
