,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.014079405790476647,14,0.6102717354946509,0.5887630970935488,0.3225,0.2959124664603828,0.65036834492775,0,interleaved,
1,Training,0.012620572069010736,13,0.6184013190077007,0.6011933430959662,0.284375,0.2635319263969227,0.6300766139557827,0,interleaved,
2,Test,0.009336099585062225,10,0.577753401442452,0.5390421130838797,0.475,0.42543462671422294,0.7315352688156189,0,interleaved,0.95
3,All,0.029282039748093923,13,0.5464542441701394,0.5651095503954138,0.26,0.2294831884228615,0.5355074118542535,0,blocked,
4,Training,0.05181791644077997,10,0.5355512834771288,0.5575866553135772,0.284375,0.24603034463256312,0.547406012652755,0,blocked,
5,Test,-0.0283282137766267,10,0.590066086942182,0.59520113072276,0.1625,0.16329456358405472,0.4879130086602479,0,blocked,0.65
6,All,0.02552551108678794,17,0.5572258469160354,0.5328080384732027,0.2025,0.18469008113866867,0.5528753974959971,0,early,
7,Training,0.03289940687217031,14,0.5585021227034673,0.5363997734186455,0.1875,0.17529554441990766,0.5461819933596297,0,early,
8,Test,0.04859561292398015,12,0.5521207437663073,0.5184410986914315,0.2625,0.22226822801371254,0.5796490140414667,0,early,0.775
9,All,0.006537941345578549,12,0.549208947673614,0.5622541970252323,0.22,0.20852495988278663,0.5652868246055617,0,middle,
10,Training,0.013478278150959906,11,0.5512760959907762,0.5683588903287856,0.225,0.2110575656354241,0.564859258592446,0,middle,
11,Test,-0.024820480799250685,10,0.5409403544049647,0.5378354238110185,0.2,0.1983945368722367,0.5669970886580241,0,middle,0.925
12,All,0.008555240528219845,6,0.5759255000747034,0.6047114941864911,0.205,0.199367445504737,0.5027276174888186,0,late,
13,Training,0.0049853180299357465,6,0.5800462618392811,0.6115427608585056,0.20625,0.19852637252776156,0.5063513265480467,0,late,
14,Test,0.024313970760691077,6,0.5594424530163928,0.5773864274984326,0.2,0.20273173741263895,0.488232781251906,0,late,1.0
15,All,0.026987815369240026,19,0.6185611132316485,0.6354676851371217,0.195,0.1932275394115569,0.5157119763042303,1,interleaved,
16,Training,0.030423239665511366,14,0.6197154054934618,0.6403232588056825,0.196875,0.18982112573432064,0.4961061773530533,1,interleaved,
17,Test,0.05526273758185592,12,0.6139439441843951,0.6160453904628782,0.1875,0.206853194120502,0.5941351721089384,1,interleaved,0.55
18,All,0.010752072491797333,19,0.5376622172682244,0.5367563599900842,0.155,0.14330758798343862,0.5072027191454516,1,blocked,
19,Training,0.020451438768459923,17,0.5424164800705112,0.537549212031885,0.15,0.13812686958296033,0.4959798540043835,1,blocked,
20,Test,-0.03769176855385094,14,0.5186451660590767,0.5335849518228813,0.175,0.1640304615853517,0.5520941797097234,1,blocked,0.825
21,All,0.016724273496616447,9,0.5354867739255924,0.539871292498738,0.1875,0.1759356633044929,0.47290593634971934,1,early,
22,Training,0.029860054579905548,8,0.5406627964742468,0.5489876778209097,0.184375,0.17110638262229644,0.4614911465072889,1,early,
23,Test,0.06179293126316611,8,0.5147826837309748,0.503405751210051,0.2,0.1952527860332789,0.5185650957194409,1,early,0.95
24,All,0.015416013400321454,10,0.5620760637742912,0.5660654000233496,0.2725,0.25011731366935047,0.5554984596304005,1,middle,
25,Training,0.033568128756644,9,0.5631259431607388,0.5684094339460186,0.26875,0.25055074065547356,0.5579616588401083,1,middle,
26,Test,-0.01215294931330895,10,0.557876546228501,0.5566892643326741,0.2875,0.2483836057248582,0.545645662791569,1,middle,0.85
27,All,0.00649521008214401,13,0.5522236980298639,0.5495140337204854,0.2775,0.24934733019562358,0.5531399328401101,1,late,
28,Training,0.0020094090429369597,11,0.5493576588247161,0.5446590281269836,0.2625,0.23630388684048312,0.5451954491388123,1,late,
29,Test,0.02667412051271814,12,0.5636878548504555,0.5689340560944922,0.3375,0.30152110361618556,0.5849178676453008,1,late,0.95
30,All,0.0005358609794628814,10,0.5685027272044567,0.60067518303053,0.215,0.2023298999201151,0.5183908105125684,2,interleaved,
31,Training,0.0037857157753716174,9,0.574804223277854,0.6008465271421517,0.225,0.21395354007859596,0.5358598673842351,2,interleaved,
32,Test,0.0625,8,0.5432967429108683,0.5999898065840436,0.175,0.1558353392861917,0.4485145830259018,2,interleaved,0.925
33,All,0.05476916740494634,14,0.5515966733757011,0.5451514406128548,0.3325,0.30962760628196656,0.5915221615993456,2,blocked,
34,Training,0.05648903649732208,13,0.5545421931641826,0.5527731267444186,0.309375,0.29676766451475745,0.5787606296928782,2,blocked,
35,Test,0.049169128137118975,11,0.5398145942217748,0.5146646960865994,0.425,0.3610673733508032,0.6425682892252149,2,blocked,0.975
36,All,0.00948213369200363,9,0.5717618433314956,0.6011412527684253,0.2025,0.19183781115194884,0.5053586294347032,2,early,
37,Training,0.00532608091034066,8,0.5771660980543805,0.6073976656240667,0.190625,0.18210981629362546,0.4921734862457807,2,early,
38,Test,0.16726532567049807,7,0.550144824439956,0.5761156013458596,0.25,0.23074979058524211,0.5580992021903933,2,early,0.95
39,All,0.016106224420117665,15,0.5876154082431456,0.5961321354547718,0.235,0.23551368453500032,0.5579508244899625,2,middle,
40,Training,0.015044527428935991,13,0.5914921139745014,0.6029591091519148,0.20625,0.2051500919379337,0.5299648019165899,2,middle,
41,Test,0.008450251901808467,11,0.5721085853177219,0.5688242406662,0.35,0.3569680549232669,0.6698949147834525,2,middle,0.875
42,All,0.008586816120062181,9,0.5482952893493993,0.5479625560130006,0.245,0.2104253529417488,0.497675741607316,2,late,
43,Training,0.011900707628427041,7,0.5387010054080941,0.54658841783313,0.2375,0.20191439824254304,0.48932049959302903,2,late,
44,Test,-0.009025270758122757,9,0.5866724251146203,0.5534591087324838,0.275,0.24446917173857172,0.5310967096644635,2,late,0.7
45,All,0.00019662446925289382,14,0.581812219621363,0.5461003315303843,0.185,0.18595322567795278,0.5207620617976625,3,interleaved,
46,Training,-0.0036082781654440356,12,0.5778059223813341,0.5486628506900078,0.1625,0.16867445608114714,0.5083907461501822,3,interleaved,
47,Test,0.03187602874463047,8,0.5978374085814779,0.5358502548918909,0.275,0.25506830406517544,0.5702473243875835,3,interleaved,0.8
48,All,0.022946100784976962,11,0.6069482894994245,0.6207637452851695,0.31,0.28545716376147434,0.579112947482178,3,blocked,
49,Training,0.0301207752269193,9,0.6100773945023095,0.6298511625796896,0.29375,0.266652208992069,0.5711360383131276,3,blocked,
50,Test,0.0347305389221557,9,0.5944318694878854,0.5844140761070891,0.375,0.36067698283909533,0.6110205841583791,3,blocked,0.75
51,All,0.018276538777723894,9,0.5849152009103789,0.5972996057007636,0.2725,0.2548720671229121,0.5367773038318103,3,early,
52,Training,0.027059244248420548,8,0.5818456818299862,0.599293100565254,0.24375,0.23220294720111817,0.5219112218018231,3,early,
53,Test,0.035588972431077705,9,0.5971932772319491,0.5893256262428022,0.3875,0.3455485468100875,0.5962416319517588,3,early,0.875
54,All,0.017267974694327115,16,0.5834638494422604,0.5815769488682463,0.315,0.2940979274724296,0.6456136937268119,3,middle,
55,Training,0.018237643832349614,13,0.5741393008740523,0.5708484998179143,0.3125,0.29359594194704297,0.6391313097630261,3,middle,
56,Test,0.05092862983296344,14,0.6207620437150934,0.6244907450695742,0.325,0.2961058695739761,0.6715432295819553,3,middle,0.8
57,All,0.022693113887399623,10,0.5562393580624102,0.5776742361915725,0.2175,0.198129978523677,0.5093226760305691,3,late,
58,Training,0.04052050962096345,9,0.5615120666866784,0.587506281490054,0.20625,0.18618148306832644,0.5025086194521029,3,late,
59,Test,0.0024991214026318783,7,0.5351485235653379,0.5383460549976471,0.2625,0.24592396034507927,0.5365789023444341,3,late,0.9
60,All,0.0016798088933104919,8,0.5890938261405922,0.6046354292138385,0.2075,0.19918740523307626,0.5101101194266613,4,interleaved,
61,Training,-0.005147913128965982,8,0.5923397447192255,0.6098386563599337,0.2125,0.20514215877868117,0.5171927482440124,4,interleaved,
62,Test,0.05234225621414912,8,0.5761101518260593,0.5838225206294576,0.1875,0.1753683910506565,0.48177960415725707,4,interleaved,1.0
63,All,0.040174634487427335,10,0.5489505850346351,0.5580509374532432,0.2325,0.2183005181801157,0.564426662801477,4,blocked,
64,Training,0.04723844788524513,8,0.551288135492395,0.5643915180281376,0.221875,0.20972614192638953,0.5586956683483056,4,blocked,
65,Test,-0.008620689655172428,10,0.5396003832035956,0.5326886151536654,0.275,0.25259802319502045,0.5873506406141622,4,blocked,0.9
66,All,0.03099304387955492,21,0.5642866468450594,0.5740410728705425,0.1375,0.15230862739307022,0.46688676020970377,4,early,
67,Training,0.04509915014164306,18,0.5628256388115197,0.5797272745805142,0.140625,0.15534832433105245,0.4693762434123839,4,early,
68,Test,0.014676316847607552,13,0.5701306789792184,0.5512962660306562,0.125,0.1401498396411413,0.45692882739898355,4,early,0.775
69,All,0.01670361784983959,16,0.5608228221916777,0.6027614662520943,0.175,0.16694806489542924,0.5482083605664507,4,middle,
70,Training,0.01763579392377035,15,0.5653573460717625,0.6130823261777355,0.16875,0.16359399750026643,0.5407557550369175,4,middle,
71,Test,0.006465259209003467,10,0.5426847266713386,0.5614780265495293,0.2,0.18036433447608052,0.5780187826845836,4,middle,0.975
72,All,0.009674096108226607,13,0.5410610261826775,0.552328994476659,0.2225,0.21699784839653283,0.5807675860039089,4,late,
73,Training,0.010083045023955692,11,0.5397736169653303,0.5530682155153243,0.234375,0.22903387939747133,0.5974952838562393,4,late,
74,Test,0.00020080321285141417,12,0.5462106630520661,0.5493721103219975,0.175,0.16885372439277865,0.5138567945945868,4,late,0.9
75,All,0.0004461070648850415,9,0.564866767449699,0.5712532493860815,0.2525,0.21896987954592503,0.5034135068660901,5,interleaved,
76,Training,0.0002701784568439664,9,0.5618868037275269,0.574230650377741,0.246875,0.21197799962283637,0.49334335340082436,5,interleaved,
77,Test,-0.019718643799889347,8,0.5767866223383872,0.5593436454194434,0.275,0.24693739923827965,0.5436941207271525,5,interleaved,1.0
78,All,0.053292998462079744,13,0.5650474163034205,0.5758047808933554,0.255,0.2427587343559698,0.5938088376415073,5,blocked,
79,Training,0.06587140537457244,13,0.5672405112573368,0.5811207934925688,0.2625,0.2484887490508072,0.6085917066335258,5,blocked,
80,Test,0.08536946883708063,10,0.5562750364877558,0.5545407304965018,0.225,0.21983867557662035,0.534677361673433,5,blocked,1.0
81,All,0.059352554457373,10,0.5988442969442382,0.6038385378247235,0.3075,0.2925713891229147,0.6219501636282775,5,early,
82,Training,0.07476306813722229,9,0.5977719360204188,0.6048822711548031,0.31875,0.298136892439714,0.6212937724890394,5,early,
83,Test,-0.010849909584086817,9,0.603133740639516,0.5996636045044058,0.2625,0.2703093758557177,0.6245757281852298,5,early,0.95
84,All,0.01632841268092943,10,0.5201323009182445,0.5460256496983894,0.1875,0.17739332107888586,0.48927252246502,5,middle,
85,Training,0.021986402988720826,9,0.5179712526886489,0.5441393436331293,0.196875,0.18837051806545194,0.5046574941522167,5,middle,
86,Test,0.0184147639416029,10,0.5287764938366268,0.5535708739594298,0.15,0.13348453313262162,0.42773263571623305,5,middle,0.825
87,All,0.007039089184060706,11,0.5496601863392278,0.5595538148079188,0.19,0.19163002078881838,0.5152730968903334,5,late,
88,Training,0.015024535836031675,10,0.5562816767412505,0.5664400282043944,0.19375,0.19083457277133545,0.5145899474521608,5,late,
89,Test,0.005178365937859617,9,0.5231742247311366,0.5320089612220162,0.175,0.19481181285875032,0.5180056946430243,5,late,0.95
90,All,0.009872275787018187,13,0.5704601792205923,0.5681318178991175,0.3025,0.27091410897425783,0.5889019047573244,6,interleaved,
91,Training,0.012597054260946644,12,0.5736189382507034,0.5736207894865342,0.284375,0.2552073270725952,0.5827159887084813,6,interleaved,
92,Test,0.016213410007587553,10,0.5578251431001482,0.5461759315494508,0.375,0.33374123658090804,0.6136455689526964,6,interleaved,0.975
93,All,0.041119967383135586,12,0.5835832340086077,0.5858558883430411,0.3075,0.2868856420625344,0.5487417542132349,6,blocked,
94,Training,0.055250298879908434,11,0.5845574495340782,0.5874142592269938,0.290625,0.27253950515499514,0.5385254335506318,6,blocked,
95,Test,0.05779498131340096,12,0.5796863719067252,0.5796224048072309,0.375,0.3442701896926917,0.589607036863647,6,blocked,0.925
96,All,0.13234917078237438,8,0.5846585381165337,0.5850406576567792,0.29,0.25860429340639096,0.5078896647127915,6,early,
97,Training,0.18451014653905726,7,0.5967848102583292,0.6004965452756724,0.265625,0.24023715152817032,0.490710376742112,6,early,
98,Test,0.016176412472172108,7,0.536153449549352,0.5232171071812062,0.3875,0.33207286091927335,0.57660681659551,6,early,0.825
99,All,0.007232059306651568,12,0.5538731969359824,0.5788234901278135,0.2175,0.20757335093737173,0.5256248644654201,6,middle,
100,Training,0.009569663154611555,9,0.5600596061614211,0.5864058637065905,0.215625,0.20437115107956774,0.539596260851763,6,middle,
101,Test,-0.002101712335536084,10,0.5291275600342271,0.5484939958127059,0.225,0.22038215036858766,0.46973927892004824,6,middle,0.65
102,All,0.019387523266080973,9,0.562546166271046,0.6014005821586089,0.245,0.22441184702925163,0.5516209877633961,6,late,
103,Training,0.02877624981383108,8,0.5637783676530537,0.6026208863551927,0.2625,0.2366881342723147,0.5700041480618594,6,late,
104,Test,8.033096356992628e-05,8,0.557617360743015,0.5965193653722736,0.175,0.1753066980569993,0.4780883465695435,6,late,0.85
105,All,0.015217486783611338,13,0.5794245795509058,0.5760503435499363,0.215,0.20406697140739996,0.5282973535589771,7,interleaved,
