,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.4599010712039799,0.4393871690555974,0.245,0.20282376500058327,0.5513130569657912,0,interleaved,
1,Training,0.0,1,0.47126044562434793,0.4507092612996412,0.225,0.18968770442524371,0.5481302570298812,0,interleaved,
2,Test,0.0,1,0.41446357352250784,0.39409880007942216,0.325,0.25536800730194154,0.5640442567094318,0,interleaved,1.0
3,All,0.0,1,0.5074087964662187,0.48162524642750354,0.2725,0.19850400786082897,0.48392944518666203,0,blocked,
4,Training,0.0,1,0.5140646139403964,0.49043575410770607,0.215625,0.1680748180682583,0.4603795053368622,0,blocked,
5,Test,0.0,1,0.48078552656950796,0.4463832157066937,0.5,0.32022076703111163,0.5781292045858615,0,blocked,1.0
6,All,0.0,1,0.45021075456598436,0.4326535645647509,0.2175,0.20620747064688813,0.5624505614782361,0,early,
7,Training,0.0,1,0.4601113296923673,0.4470570070176919,0.1875,0.18529255570225306,0.5534007574066557,0,early,
8,Test,0.0,1,0.41060845406045327,0.3750397947529872,0.3375,0.2898671304254286,0.598649777764558,0,early,1.0
9,All,0.0,1,0.4201034691855299,0.40281822979937365,0.235,0.21571393582308318,0.5303187602543032,0,middle,
10,Training,0.0,1,0.42581490145049095,0.4136583567852684,0.228125,0.2115890642940262,0.5291514547598493,0,middle,
11,Test,0.0,1,0.3972577401256854,0.3594577218557946,0.2625,0.23221342193931083,0.5349879822321193,0,middle,1.0
12,All,0.0,1,0.4702578873796681,0.48385885842458115,0.0975,0.11028974218995799,0.5019145317942347,0,late,
13,Training,0.0,1,0.4796760148776137,0.4954980304408142,0.090625,0.10641793457094148,0.49780241553034765,0,late,
14,Test,0.0,1,0.43258537738788516,0.43730217035964924,0.125,0.1257769726660239,0.5183629968497835,0,late,1.0
15,All,0.0,1,0.4642880456101001,0.46051613131399655,0.1375,0.12136442534774342,0.4852918194483229,1,interleaved,
16,Training,0.0,1,0.4713482705020679,0.4686718381739986,0.13125,0.12009823517994382,0.4915978209354591,1,interleaved,
17,Test,0.0,1,0.4360471460422291,0.4278933038739883,0.1625,0.12642918601894176,0.4600678134997772,1,interleaved,1.0
18,All,0.0,1,0.45908898085755934,0.4504840224704118,0.3125,0.2667157985157993,0.5611336492306165,1,blocked,
19,Training,0.0,1,0.47047356383143496,0.465212999768302,0.290625,0.24466550764769496,0.5625219905849581,1,blocked,
20,Test,0.0,1,0.41355064896205745,0.3915681132788511,0.4,0.3549169619882166,0.5555802838132496,1,blocked,1.0
21,All,0.0,1,0.4569262787009058,0.4448861094544212,0.19,0.1788964646997428,0.5629975243622226,1,early,
22,Training,0.0,1,0.4636191800615319,0.4597424418197439,0.16875,0.14961831423734775,0.5583727445935585,1,early,
23,Test,0.0,1,0.43015467325840134,0.3854607799931302,0.275,0.29600906654932296,0.5814966434368793,1,early,1.0
24,All,0.0,1,0.4654182825707059,0.4543388694230618,0.2825,0.2185159536215343,0.5606294705064296,1,middle,
25,Training,0.0,1,0.4701110846313105,0.4609087339553312,0.278125,0.21670735191208806,0.5642542772272079,1,middle,
26,Test,0.0,1,0.44664707432828704,0.4280594112939841,0.3,0.22575036045931932,0.5461302436233169,1,middle,1.0
27,All,0.0,1,0.46448733255217667,0.44601124481450005,0.2175,0.1725405552692944,0.5174340398317194,1,late,
28,Training,0.0,1,0.47708097429166957,0.4570144764347611,0.209375,0.16240901574002428,0.5123468858158168,1,late,
29,Test,0.0,1,0.4141127655942053,0.4019983183334558,0.25,0.21306671338637492,0.53778265589533,1,late,1.0
30,All,0.0,1,0.4725434077242693,0.4185324860414377,0.3175,0.2732693895812051,0.5566090497785688,2,interleaved,
31,Training,0.0,1,0.4784553935712887,0.4257171375887524,0.3,0.2516401430947296,0.5533552461858369,2,interleaved,
32,Test,0.0,1,0.44889546433619143,0.38979387985217895,0.3875,0.35978637552710735,0.5696242641494969,2,interleaved,1.0
33,All,0.0,1,0.4934205154690386,0.44074853713202616,0.295,0.24641500633111796,0.5420869305166791,2,blocked,
34,Training,0.0,1,0.49645824007269007,0.44674081131587684,0.29375,0.2466220328419782,0.5479003695570618,2,blocked,
35,Test,0.0,1,0.4812696170544328,0.41677944039662307,0.3,0.24558690028767707,0.5188331743551485,2,blocked,1.0
36,All,0.0,1,0.4399931307230773,0.45282858086940453,0.15,0.14609173976010198,0.5047505865423303,2,early,
37,Training,0.0,1,0.44796850677474565,0.4676744712551944,0.10625,0.11349308336456436,0.4976575484150182,2,early,
38,Test,0.0,1,0.4080916265164037,0.393445019326245,0.325,0.2764863653422524,0.5331227390515785,2,early,1.0
39,All,0.0,1,0.46946302883450003,0.4455977040156975,0.2325,0.2005032680585603,0.5368700140731713,2,middle,
40,Training,0.0,1,0.4682053517663981,0.44323668214546014,0.221875,0.1938513497720874,0.5536109828243682,2,middle,
41,Test,0.0,1,0.4744937371069078,0.45504179149664736,0.275,0.22711094120445194,0.46990613906838397,2,middle,1.0
42,All,0.0,1,0.39683472487000804,0.3875216305704242,0.2375,0.20053165902072315,0.5252308380655003,2,late,
43,Training,0.0,1,0.40603385145879334,0.40030058160420234,0.2375,0.19775100480305935,0.5352013119492136,2,late,
44,Test,0.0,1,0.3600382185148667,0.3364058264353119,0.2375,0.21165427589137825,0.48534894253064664,2,late,1.0
45,All,0.0,1,0.465690676716722,0.4283859816315075,0.225,0.1915258413060939,0.5755671591347024,3,interleaved,
46,Training,0.0,1,0.47495329622719346,0.43895482514567974,0.190625,0.1726440244415634,0.5803308526553412,3,interleaved,
47,Test,0.0,1,0.42864019867483605,0.3861106075748185,0.3625,0.26705310876421606,0.5565123850521468,3,interleaved,1.0
48,All,0.0,1,0.42818271646772615,0.37355654093597823,0.345,0.2746779508939039,0.5631269818352511,3,blocked,
49,Training,0.0,1,0.43466271490617375,0.3862299003500641,0.321875,0.2660781961098756,0.560777270196563,3,blocked,
50,Test,0.0,1,0.4022627227139358,0.32286310327963474,0.4375,0.30907697003001744,0.5725258283900041,3,blocked,1.0
51,All,0.0,1,0.45698801355890456,0.47922461059213844,0.1075,0.12433303673944433,0.5242575707331157,3,early,
52,Training,0.0,1,0.4613863968822953,0.48140215805201814,0.10625,0.12789666805938218,0.535051481338492,3,early,
53,Test,0.0,1,0.4393944802653418,0.47051442075261923,0.1125,0.11007851145969308,0.4810819283116105,3,early,1.0
54,All,0.0,1,0.45084034922466026,0.45462592925559986,0.11,0.12437598599776704,0.5060275211701866,3,middle,
55,Training,0.0,1,0.454247845121655,0.4615315945875079,0.103125,0.1211748786387957,0.5022444255827682,3,middle,
56,Test,0.0,1,0.4372103656366809,0.42700326792796783,0.1375,0.13718041543365245,0.5211599035198603,3,middle,1.0
57,All,0.0,1,0.42353933924946374,0.3854253805606332,0.31,0.25604545069287526,0.5406315997261426,3,late,
58,Training,0.0,1,0.4324342243117974,0.3989667755194371,0.290625,0.2430817079523861,0.5374174233365142,3,late,
59,Test,0.0,1,0.38795979900012884,0.33125980072541805,0.3875,0.307900421654832,0.5534883052846561,3,late,1.0
60,All,0.0,1,0.5001198927310867,0.46129950506495937,0.235,0.19870316509961308,0.4947470320338272,4,interleaved,
61,Training,0.0,1,0.5126407255865495,0.467695443011523,0.234375,0.19497732964693015,0.49723273397298373,4,interleaved,
