,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.578246651817512,0.583413705950655,0.105,0.11110614783080568,0.493739177859678,0,interleaved,
1,Training,0.0,1,0.5789874676045219,0.584683196143617,0.1125,0.111503549682026,0.4821768715566144,0,interleaved,
2,Test,0.0,1,0.575283388669472,0.5783357451788073,0.075,0.1095165404259244,0.5399884030719326,0,interleaved,1.0
3,All,0.0,1,0.5687797238240123,0.5644463554663598,0.2,0.19035016496000218,0.5590660017738499,0,blocked,
4,Training,0.0,1,0.5670900459915815,0.5660682350487074,0.203125,0.19966186087321894,0.5854493801354798,0,blocked,
5,Test,0.0,1,0.5755384351537355,0.5579588371369691,0.1875,0.15310338130713536,0.45353248832733045,0,blocked,1.0
6,All,0.0,1,0.5652943193903174,0.5570228936223133,0.2075,0.18006336459055336,0.5513254283078226,0,early,
7,Training,0.0,1,0.5619920178957897,0.5565348743806402,0.2125,0.18115938948154062,0.560506879032234,0,early,
8,Test,0.0,1,0.5785035253684282,0.5589749705890057,0.1875,0.1756792650266043,0.5145996254101775,0,early,1.0
9,All,0.0,1,0.5786373116349316,0.5763418143724012,0.1375,0.14194481680901005,0.49607732544561145,0,middle,
10,Training,0.0,1,0.5782042370772453,0.575787255012401,0.15,0.1528659511088757,0.5113945286516289,0,middle,
11,Test,0.0,1,0.5803696098656769,0.578560051812402,0.0875,0.0982602796095476,0.43480851262154163,0,middle,1.0
12,All,0.0,1,0.575626364546453,0.6018384491200881,0.105,0.10594941696557138,0.5105382712769375,0,late,
13,Training,0.0,1,0.5779565720934792,0.6053634023011323,0.10625,0.10809543395356058,0.5236252124184488,0,late,
14,Test,0.0,1,0.5663055343583483,0.5877386363959116,0.1,0.09736534901361457,0.4581905067108922,0,late,1.0
15,All,0.0,1,0.5578721237004675,0.5443674535369667,0.1625,0.1582142541058725,0.5063165710940806,1,interleaved,
16,Training,0.0,1,0.5650060922927712,0.554906422555629,0.159375,0.15551201116046715,0.501745453798711,1,interleaved,
