,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.4692973340983617,0.4557726752675107,0.3125,0.26485272216305367,0.5111861240434323,0,interleaved,
1,Training,0.0,1,0.47548554464888737,0.4674191851314308,0.275,0.2410606032841749,0.49801628419629085,0,interleaved,
2,Test,0.0,1,0.444544491896259,0.40918663581183035,0.4625,0.36002119767856877,0.5638654834319985,0,interleaved,1.0
3,All,0.0,1,0.4624370382585954,0.42894640377783405,0.3025,0.2754978590074551,0.480130039110627,0,blocked,
4,Training,0.0,1,0.46461615801138106,0.4406903086427644,0.296875,0.2641048441139217,0.4920692454473528,0,blocked,
5,Test,0.0,1,0.4537205592474528,0.38197078431811315,0.325,0.3210699185815886,0.43237321376372445,0,blocked,1.0
6,All,0.0,1,0.43499713919970195,0.4412312666855102,0.13,0.131196909104222,0.5128999541076757,0,early,
7,Training,0.0,1,0.44723762154389957,0.45661243654814376,0.121875,0.12988749195989538,0.5128853782321852,0,early,
8,Test,0.0,1,0.3860352098229113,0.3797065872349758,0.1625,0.1364345776815284,0.5129582576096383,0,early,1.0
9,All,0.0,1,0.4108756205809524,0.38959771845483276,0.2875,0.22289414666362206,0.5510440998402653,0,middle,
10,Training,0.0,1,0.42073287641186097,0.4053408370657069,0.26875,0.20477962960656573,0.5335361102562979,0,middle,
11,Test,0.0,1,0.371446597257318,0.3266252440113358,0.3625,0.2953522148918474,0.6210760581761346,0,middle,1.0
12,All,0.0,1,0.4266713352599548,0.39731686088717977,0.215,0.19234907866815695,0.5197061415162545,0,late,
13,Training,0.0,1,0.43557955731430664,0.4125193029732797,0.203125,0.18589705271873264,0.5255449369659988,0,late,
14,Test,0.0,1,0.3910384470425478,0.3365070925427801,0.2625,0.21815718246585442,0.49635095971727716,0,late,1.0
15,All,0.0,1,0.45560881844196494,0.44984463818338793,0.2275,0.19437718955802225,0.5182483056245989,1,interleaved,
16,Training,0.0,1,0.4617616626912406,0.46119659526863116,0.228125,0.1883110330738292,0.5099548045773065,1,interleaved,
17,Test,0.0,1,0.4309974414448623,0.4044368098424151,0.225,0.2186418154947944,0.5514223098137683,1,interleaved,1.0
18,All,0.0,1,0.42194073529402076,0.37748521837232135,0.295,0.24456693114617425,0.5482280207569304,1,blocked,
19,Training,0.0,1,0.4336296896623597,0.39700133047080893,0.25625,0.21732075351879138,0.5361932603590213,1,blocked,
20,Test,0.0,1,0.3751849178206651,0.29942076997837086,0.45,0.35355164165570574,0.5963670623485674,1,blocked,1.0
21,All,0.0,1,0.44644704862520834,0.437635751606217,0.39,0.3092812448603307,0.530050799927057,1,early,
22,Training,0.0,1,0.4502325461508617,0.4484311639306586,0.353125,0.27215754837051964,0.5184459678076923,1,early,
23,Test,0.0,1,0.43130505852259476,0.3944541023084503,0.5375,0.457776030819575,0.5764701284045158,1,early,1.0
24,All,0.0,1,0.43197702078870304,0.4111038095020861,0.2775,0.24609683702484744,0.5364945260312152,1,middle,
25,Training,0.0,1,0.43958934184732684,0.42403216894000195,0.253125,0.22079561805306813,0.5338341578973179,1,middle,
26,Test,0.0,1,0.40152773655420804,0.35939037175042227,0.375,0.3473017129119646,0.5471359985668041,1,middle,1.0
27,All,0.0,1,0.4213727865491734,0.40718694251011,0.24,0.20356140730296232,0.5788462591798518,1,late,
28,Training,0.0,1,0.42818647135241633,0.42036458280571426,0.209375,0.1803068744779217,0.5532895396214927,1,late,
