,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,0.0,1,0.42051493145104235,0.3758414275771269,0.28,0.23361604973952346,0.5689819735171725,0,interleaved,
1,Training,0.0,1,0.42801150129463805,0.3887855708858224,0.25625,0.21729809093745098,0.5662935202467918,0,interleaved,
2,Test,0.0,1,0.39052865207665954,0.32406485434234494,0.375,0.2988878849478132,0.5797357865986956,0,interleaved,1.0
3,All,0.0,1,0.4207171971849287,0.4097329412321338,0.225,0.211994973855833,0.5382843685492238,0,blocked,
4,Training,0.0,1,0.42856162794647645,0.4237178184545994,0.20625,0.19608022436972064,0.5239264517555988,0,blocked,
5,Test,0.0,1,0.38933947413873776,0.35379343234227145,0.3,0.2756539718002823,0.5957160357237237,0,blocked,1.0
6,All,0.0,1,0.43378330533209364,0.38619335903340274,0.3375,0.2744245098850267,0.573558494284989,0,early,
7,Training,0.0,1,0.44200479059625175,0.4038515645989767,0.315625,0.25409486644335944,0.5680400275966371,0,early,
8,Test,0.0,1,0.4008973642754612,0.3155605367711066,0.425,0.3557430836516956,0.5956323610383969,0,early,1.0
9,All,0.0,1,0.40914577228711846,0.4115144913300493,0.1925,0.15238192159944597,0.5226703705769724,0,middle,
10,Training,0.0,1,0.41519785333158765,0.42041772828546203,0.196875,0.14557875836731898,0.5148239604688526,0,middle,
11,Test,0.0,1,0.38493744810924213,0.37590154350839855,0.175,0.1795945745279539,0.5540560110094517,0,middle,1.0
12,All,0.0,1,0.43929640136614534,0.4063104965046335,0.305,0.269951841144913,0.5287179683855654,0,late,
13,Training,0.0,1,0.4526196859090814,0.42488936114174125,0.284375,0.2540952248624059,0.5374537196064495,0,late,
14,Test,0.0,1,0.3860032631944015,0.331995037956203,0.3875,0.3333783062749417,0.49377496350202926,0,late,1.0
15,All,0.0,1,0.43633848982570833,0.4014187998723679,0.34,0.27942127488396223,0.5417065812151978,1,interleaved,
16,Training,0.0,1,0.44291856656310663,0.41600651244511366,0.328125,0.2610345013481331,0.540723930282038,1,interleaved,
17,Test,0.0,1,0.41001818287611513,0.3430679495813848,0.3875,0.3529683690272788,0.5456371849478369,1,interleaved,1.0
18,All,0.0,1,0.43979910518673104,0.4031789856551879,0.3275,0.2935630747079859,0.5408296147259805,1,blocked,
19,Training,0.0,1,0.4457471769811794,0.415933365781855,0.296875,0.2740227325146566,0.5407813797283954,1,blocked,
20,Test,0.0,1,0.4160068180089377,0.3521614651485194,0.45,0.37172444348130307,0.5410225547163211,1,blocked,1.0
21,All,0.0,1,0.4432082056479061,0.42636822628912613,0.16,0.1611853936560778,0.537622140623967,1,early,
22,Training,0.0,1,0.4478306988561546,0.43821185135328494,0.159375,0.16079773033242192,0.535328461913186,1,early,
23,Test,0.0,1,0.4247182328149119,0.37899372603249126,0.1625,0.16273604695070135,0.5467968554670907,1,early,1.0
24,All,0.0,1,0.4274711446684548,0.41687774170801256,0.225,0.2069693234380569,0.5735643651575093,1,middle,
25,Training,0.0,1,0.4403803234522669,0.43717820285314113,0.19375,0.18675971114683096,0.571780758384399,1,middle,
