,Trials,adjRand,nClusters,pe,pe (probes),verb decoder Accuracy,verb decoder Accuracy Prob,verb 2 AFC decoder Prob,batch,Condition,cluster re-use
0,All,-0.11940298507462692,2,0.683957652671789,0.695638246453498,0.05,0.10620632795897429,0.5567285166825158,0,interleaved,
1,Training,-0.11999999999999994,2,0.6820730019589313,0.6809160818242066,0.0625,0.12183064071757319,0.5553661908613714,0,interleaved,
2,Test,0.0,1,0.6914962555232197,0.7545269049706635,0.0,0.0437090769245787,0.5621778199670934,0,interleaved,1.0
3,All,0.010471204188481638,5,0.6668877795220994,0.6975414602565089,0.4,0.22923143082169894,0.6367352597124158,0,blocked,
4,Training,-0.04255319148936168,4,0.6388971341010953,0.6608265664386794,0.375,0.22954293737324283,0.6281346579344964,0,blocked,
5,Test,1.0,2,0.7788503612061162,0.8444010355278265,0.5,0.22798540461552347,0.6711376668240934,0,blocked,0.5
6,All,0.0855614973262032,6,0.7139465261725627,0.758384463481,0.1,0.13469235354556836,0.6231115360915533,1,interleaved,
7,Training,0.04545454545454547,5,0.7275067581531081,0.7792626043667826,0.0625,0.1326946709537229,0.6045150265930449,1,interleaved,
8,Test,1.0,2,0.6597055982503814,0.6748718999378694,0.25,0.1426830839129503,0.6974975740855871,1,interleaved,0.5
9,All,0.0,1,0.6525324424091673,0.6740675127392849,0.15,0.10819157692759188,0.4541696840191169,1,blocked,
10,Training,0.0,1,0.6534827896016644,0.6788671080850894,0.125,0.11093090746841106,0.4496950707300479,1,blocked,
11,Test,1.0,1,0.648731053639179,0.6548691313560666,0.25,0.09723425476431515,0.4720681371753927,1,blocked,1.0
